Cond1	Cond2	Cond3	MCC	Min MCC mono	Max MCC mono
1M7ILUMg	1M7ILU	DMSMg	0.8527	0.63	0.85
1M7ILUMg	1M7ILU	NMIAMg	0.7477	0.81	0.85
1M7ILUMg	1M7ILU	NMIA	0.8228	0.8	0.85
1M7ILUMg	1M7ILU	1M7ILU3Mg	0.8188	0.74	0.85
1M7ILUMg	1M7ILU	NMIAMgCE	0.8527	0.73	0.85
1M7ILUMg	1M7ILU	NaiMg	0.8228	0.73	0.85
1M7ILUMg	1M7ILU	1M7Mg	0.8303	0.7	0.85
1M7ILUMg	1M7ILU	BzCNMg	0.8303	0.71	0.85
1M7ILUMg	1M7ILU	1M7	0.7969	0.6	0.85
1M7ILUMg	1M7ILU	1M7ILU3	0.79	0.64	0.85
1M7ILUMg	1M7ILU	CMCTMg	0.8228	0.7	0.85
1M7ILUMg	1M7ILU	BzCN	0.7969	0.6	0.85
1M7ILUMg	1M7ILU	Nai	0.5938	0.6	0.85
1M7ILUMg	1M7ILU	NMIACE	0.7969	0.61	0.85
1M7ILUMg	DMSMg	NMIAMg	0.7477	0.63	0.85
1M7ILUMg	DMSMg	NMIA	0.7948	0.63	0.85
1M7ILUMg	DMSMg	1M7ILU3Mg	0.8188	0.63	0.85
1M7ILUMg	DMSMg	NMIAMgCE	0.7853	0.63	0.85
1M7ILUMg	DMSMg	NaiMg	0.7404	0.63	0.85
1M7ILUMg	DMSMg	1M7Mg	0.6748	0.63	0.85
1M7ILUMg	DMSMg	BzCNMg	0.7531	0.63	0.85
1M7ILUMg	DMSMg	1M7	0.7853	0.6	0.85
1M7ILUMg	DMSMg	1M7ILU3	0.7853	0.63	0.85
1M7ILUMg	DMSMg	CMCTMg	0.8527	0.63	0.85
1M7ILUMg	DMSMg	BzCN	0.6034	0.6	0.85
1M7ILUMg	DMSMg	Nai	0.5986	0.6	0.85
1M7ILUMg	DMSMg	NMIACE	0.7969	0.61	0.85
1M7ILUMg	NMIAMg	NMIA	0.8015	0.8	0.85
1M7ILUMg	NMIAMg	1M7ILU3Mg	0.8188	0.74	0.85
1M7ILUMg	NMIAMg	NMIAMgCE	0.7853	0.73	0.85
1M7ILUMg	NMIAMg	NaiMg	0.7853	0.73	0.85
1M7ILUMg	NMIAMg	1M7Mg	0.8228	0.7	0.85
1M7ILUMg	NMIAMg	BzCNMg	0.8155	0.71	0.85
1M7ILUMg	NMIAMg	1M7	0.838	0.6	0.85
1M7ILUMg	NMIAMg	1M7ILU3	0.838	0.64	0.85
1M7ILUMg	NMIAMg	CMCTMg	0.8228	0.7	0.85
1M7ILUMg	NMIAMg	BzCN	0.8084	0.6	0.85
1M7ILUMg	NMIAMg	Nai	0.5986	0.6	0.85
1M7ILUMg	NMIAMg	NMIACE	0.7969	0.61	0.85
1M7ILUMg	NMIA	1M7ILU3Mg	0.8188	0.74	0.85
1M7ILUMg	NMIA	NMIAMgCE	0.7948	0.73	0.85
1M7ILUMg	NMIA	NaiMg	0.7347	0.73	0.85
1M7ILUMg	NMIA	1M7Mg	0.8266	0.7	0.85
1M7ILUMg	NMIA	BzCNMg	0.8303	0.71	0.85
1M7ILUMg	NMIA	1M7	0.6034	0.6	0.85
1M7ILUMg	NMIA	1M7ILU3	0.6657	0.64	0.85
1M7ILUMg	NMIA	CMCTMg	0.7832	0.7	0.85
1M7ILUMg	NMIA	BzCN	0.8266	0.6	0.85
1M7ILUMg	NMIA	Nai	0.5986	0.6	0.85
1M7ILUMg	NMIA	NMIACE	0.8015	0.61	0.85
1M7ILUMg	1M7ILU3Mg	NMIAMgCE	0.8188	0.73	0.85
1M7ILUMg	1M7ILU3Mg	NaiMg	0.8188	0.73	0.85
1M7ILUMg	1M7ILU3Mg	1M7Mg	0.8188	0.7	0.85
1M7ILUMg	1M7ILU3Mg	BzCNMg	0.8416	0.71	0.85
1M7ILUMg	1M7ILU3Mg	1M7	0.8188	0.6	0.85
1M7ILUMg	1M7ILU3Mg	1M7ILU3	0.8188	0.64	0.85
1M7ILUMg	1M7ILU3Mg	CMCTMg	0.8188	0.7	0.85
1M7ILUMg	1M7ILU3Mg	BzCN	0.8188	0.6	0.85
1M7ILUMg	1M7ILU3Mg	Nai	0.8188	0.6	0.85
1M7ILUMg	1M7ILU3Mg	NMIACE	0.7783	0.61	0.85
1M7ILUMg	NMIAMgCE	NaiMg	0.7343	0.73	0.85
1M7ILUMg	NMIAMgCE	1M7Mg	0.7343	0.7	0.85
1M7ILUMg	NMIAMgCE	BzCNMg	0.79	0.71	0.85
1M7ILUMg	NMIAMgCE	1M7	0.7853	0.6	0.85
1M7ILUMg	NMIAMgCE	1M7ILU3	0.8416	0.64	0.85
1M7ILUMg	NMIAMgCE	CMCTMg	0.7343	0.7	0.85
1M7ILUMg	NMIAMgCE	BzCN	0.7853	0.6	0.85
1M7ILUMg	NMIAMgCE	Nai	0.5986	0.6	0.85
1M7ILUMg	NMIAMgCE	NMIACE	0.7853	0.61	0.85
1M7ILUMg	NaiMg	1M7Mg	0.7924	0.7	0.85
1M7ILUMg	NaiMg	BzCNMg	0.8155	0.71	0.85
1M7ILUMg	NaiMg	1M7	0.7853	0.6	0.85
1M7ILUMg	NaiMg	1M7ILU3	0.7853	0.64	0.85
1M7ILUMg	NaiMg	CMCTMg	0.7284	0.7	0.85
1M7ILUMg	NaiMg	BzCN	0.7853	0.6	0.85
1M7ILUMg	NaiMg	Nai	0.5986	0.6	0.85
1M7ILUMg	NaiMg	NMIACE	0.7853	0.61	0.85
1M7ILUMg	1M7Mg	BzCNMg	0.7039	0.7	0.85
1M7ILUMg	1M7Mg	1M7	0.7853	0.6	0.85
1M7ILUMg	1M7Mg	1M7ILU3	0.8114	0.64	0.85
1M7ILUMg	1M7Mg	CMCTMg	0.6978	0.7	0.85
1M7ILUMg	1M7Mg	BzCN	0.8282	0.6	0.85
1M7ILUMg	1M7Mg	Nai	0.5986	0.6	0.85
1M7ILUMg	1M7Mg	NMIACE	0.7853	0.61	0.85
1M7ILUMg	BzCNMg	1M7	0.7853	0.6	0.85
1M7ILUMg	BzCNMg	1M7ILU3	0.8527	0.64	0.85
1M7ILUMg	BzCNMg	CMCTMg	0.8155	0.7	0.85
1M7ILUMg	BzCNMg	BzCN	0.8345	0.6	0.85
1M7ILUMg	BzCNMg	Nai	0.7853	0.6	0.85
1M7ILUMg	BzCNMg	NMIACE	0.6084	0.61	0.85
1M7ILUMg	1M7	1M7ILU3	0.7853	0.6	0.85
1M7ILUMg	1M7	CMCTMg	0.6084	0.6	0.85
1M7ILUMg	1M7	BzCN	0.6187	0.6	0.85
1M7ILUMg	1M7	Nai	0.5938	0.6	0.85
1M7ILUMg	1M7	NMIACE	0.6134	0.6	0.85
1M7ILUMg	1M7ILU3	CMCTMg	0.7853	0.64	0.85
1M7ILUMg	1M7ILU3	BzCN	0.7853	0.6	0.85
1M7ILUMg	1M7ILU3	Nai	0.5938	0.6	0.85
1M7ILUMg	1M7ILU3	NMIACE	0.7853	0.61	0.85
1M7ILUMg	CMCTMg	BzCN	0.7853	0.6	0.85
1M7ILUMg	CMCTMg	Nai	0.5986	0.6	0.85
1M7ILUMg	CMCTMg	NMIACE	0.7853	0.61	0.85
1M7ILUMg	BzCN	Nai	0.5986	0.6	0.85
1M7ILUMg	BzCN	NMIACE	0.6034	0.6	0.85
1M7ILUMg	Nai	NMIACE	0.5986	0.6	0.85
1M7ILU	DMSMg	NMIAMg	0.8155	0.63	0.84
1M7ILU	DMSMg	NMIA	0.8269	0.63	0.84
1M7ILU	DMSMg	1M7ILU3Mg	0.838	0.63	0.84
1M7ILU	DMSMg	NMIAMgCE	0.6803	0.63	0.84
1M7ILU	DMSMg	NaiMg	0.6803	0.63	0.84
1M7ILU	DMSMg	1M7Mg	0.6295	0.63	0.84
1M7ILU	DMSMg	BzCNMg	0.8155	0.63	0.84
1M7ILU	DMSMg	1M7	0.8416	0.6	0.84
1M7ILU	DMSMg	1M7ILU3	0.6112	0.63	0.84
1M7ILU	DMSMg	CMCTMg	0.8228	0.63	0.84
1M7ILU	DMSMg	BzCN	0.8416	0.6	0.84
1M7ILU	DMSMg	Nai	0.5938	0.6	0.84
1M7ILU	DMSMg	NMIACE	0.8416	0.61	0.84
1M7ILU	NMIAMg	NMIA	0.8015	0.8	0.84
1M7ILU	NMIAMg	1M7ILU3Mg	0.8015	0.74	0.84
1M7ILU	NMIAMg	NMIAMgCE	0.8084	0.73	0.84
1M7ILU	NMIAMg	NaiMg	0.8155	0.73	0.84
1M7ILU	NMIAMg	1M7Mg	0.8416	0.7	0.84
1M7ILU	NMIAMg	BzCNMg	0.8155	0.71	0.84
1M7ILU	NMIAMg	1M7	0.8228	0.6	0.84
1M7ILU	NMIAMg	1M7ILU3	0.8015	0.64	0.84
1M7ILU	NMIAMg	CMCTMg	0.8155	0.7	0.84
1M7ILU	NMIAMg	BzCN	0.8155	0.6	0.84
1M7ILU	NMIAMg	Nai	0.8228	0.6	0.84
1M7ILU	NMIAMg	NMIACE	0.8155	0.61	0.84
1M7ILU	NMIA	1M7ILU3Mg	0.7948	0.74	0.84
1M7ILU	NMIA	NMIAMgCE	0.8269	0.73	0.84
1M7ILU	NMIA	NaiMg	0.8015	0.73	0.84
1M7ILU	NMIA	1M7Mg	0.6978	0.7	0.84
1M7ILU	NMIA	BzCNMg	0.8341	0.71	0.84
1M7ILU	NMIA	1M7	0.8416	0.6	0.84
1M7ILU	NMIA	1M7ILU3	0.8084	0.64	0.84
1M7ILU	NMIA	CMCTMg	0.8015	0.7	0.84
1M7ILU	NMIA	BzCN	0.8416	0.6	0.84
1M7ILU	NMIA	Nai	0.8416	0.6	0.84
1M7ILU	NMIA	NMIACE	0.8416	0.61	0.84
1M7ILU	1M7ILU3Mg	NMIAMgCE	0.8228	0.73	0.84
1M7ILU	1M7ILU3Mg	NaiMg	0.7042	0.73	0.84
1M7ILU	1M7ILU3Mg	1M7Mg	0.7424	0.7	0.84
1M7ILU	1M7ILU3Mg	BzCNMg	0.8341	0.71	0.84
1M7ILU	1M7ILU3Mg	1M7	0.7424	0.6	0.84
1M7ILU	1M7ILU3Mg	1M7ILU3	0.6494	0.64	0.84
1M7ILU	1M7ILU3Mg	CMCTMg	0.8228	0.7	0.84
1M7ILU	1M7ILU3Mg	BzCN	0.7424	0.6	0.84
1M7ILU	1M7ILU3Mg	Nai	0.5986	0.6	0.84
